name,skin_tone,gender,age,face
TRAIN0001.png,monk_1,female,18_30,1
TRAIN0002.png,monk_6,male,0_17,0
TRAIN0004.png,monk_3,male,0_17,0
TRAIN0005.png,monk_2,male,0_17,0
TRAIN0006.png,monk_2,female,18_30,1
TRAIN0007.png,monk_2,female,18_30,0
TRAIN0009.png,monk_8,female,18_30,0
TRAIN0011.png,monk_4,female,18_30,0
TRAIN0012.png,monk_4,male,31_60,1
TRAIN0013.png,monk_6,male,18_30,1
TRAIN0015.png,monk_3,female,18_30,0
TRAIN0016.png,monk_8,female,0_17,0
TRAIN0018.png,monk_5,female,18_30,1
TRAIN0020.png,monk_9,male,31_60,1
TRAIN0021.png,monk_7,male,18_30,0
TRAIN0022.png,monk_8,female,0_17,1
TRAIN0024.png,monk_2,female,18_30,1
TRAIN0025.png,monk_5,male,0_17,1
TRAIN0026.png,monk_2,male,61_100,0
TRAIN0027.png,monk_5,male,31_60,1
TRAIN0028.png,monk_4,female,18_30,0
TRAIN0030.png,monk_3,male,31_60,1
TRAIN0034.png,monk_8,female,0_17,1
TRAIN0037.png,monk_4,female,18_30,1
TRAIN0038.png,monk_3,female,18_30,1
TRAIN0040.png,monk_9,male,18_30,1
TRAIN0043.png,monk_5,female,18_30,1
TRAIN0044.png,monk_3,female,0_17,1
TRAIN0048.png,monk_9,male,31_60,0
TRAIN0049.png,monk_3,male,18_30,1
TRAIN0051.png,monk_3,female,31_60,0
TRAIN0052.png,monk_2,male,0_17,0
TRAIN0053.png,monk_4,male,0_17,1
TRAIN0054.png,monk_8,male,18_30,0
TRAIN0055.png,monk_3,female,0_17,0
TRAIN0057.png,monk_2,female,31_60,0
TRAIN0058.png,monk_4,female,18_30,1
TRAIN0060.png,monk_4,female,0_17,0
TRAIN0062.png,monk_4,female,18_30,0
TRAIN0064.png,monk_1,male,18_30,0
TRAIN0065.png,monk_5,female,18_30,0
TRAIN0066.png,monk_10,male,31_60,0
TRAIN0067.png,monk_4,female,18_30,1
TRAIN0069.png,monk_8,female,31_60,0
TRAIN0071.png,monk_4,male,0_17,0
TRAIN0072.png,monk_2,female,18_30,0
TRAIN0074.png,monk_1,male,18_30,0
TRAIN0075.png,monk_6,female,0_17,1
TRAIN0077.png,monk_4,male,31_60,0
TRAIN0078.png,monk_3,male,18_30,0
TRAIN0081.png,monk_5,female,18_30,1
TRAIN0082.png,monk_4,female,18_30,1
TRAIN0083.png,monk_5,female,0_17,1
TRAIN0084.png,monk_7,male,31_60,1
TRAIN0086.png,monk_4,male,0_17,1
TRAIN0087.png,monk_3,female,18_30,1
TRAIN0089.png,monk_2,female,61_100,0
TRAIN0090.png,monk_5,female,0_17,1
TRAIN0091.png,monk_7,male,31_60,0
TRAIN0094.png,monk_7,female,0_17,0
TRAIN0097.png,monk_8,female,31_60,0
TRAIN0098.png,monk_5,female,18_30,0
TRAIN0100.png,monk_3,male,31_60,0
TRAIN0104.png,monk_8,female,31_60,0
TRAIN0105.png,monk_4,male,18_30,0
TRAIN0109.png,monk_5,male,18_30,0
TRAIN0110.png,monk_5,female,18_30,0
TRAIN0112.png,monk_5,female,31_60,0
TRAIN0113.png,monk_8,male,31_60,0
TRAIN0114.png,monk_3,male,0_17,1
TRAIN0115.png,monk_3,male,0_17,1
TRAIN0116.png,monk_5,male,18_30,0
TRAIN0117.png,monk_3,female,0_17,1
TRAIN0118.png,monk_2,female,31_60,1
TRAIN0120.png,monk_3,female,18_30,0
TRAIN0121.png,monk_3,female,18_30,1
TRAIN0122.png,monk_5,male,0_17,1
TRAIN0124.png,monk_5,female,0_17,1
TRAIN0125.png,monk_5,male,18_30,0
TRAIN0126.png,monk_4,male,0_17,0
TRAIN0128.png,monk_5,male,18_30,0
TRAIN0129.png,monk_1,female,18_30,1
TRAIN0130.png,monk_3,female,18_30,0
TRAIN0133.png,monk_5,female,0_17,0
TRAIN0136.png,monk_5,male,18_30,0
