name,skin_tone,gender,age,real_face
TRAIN0000.png,,,,1
TRAIN0001.png,monk_1,female,18_30,0
TRAIN0002.png,monk_6,male,0_17,1
TRAIN0003.png,,,,1
TRAIN0004.png,monk_3,male,0_17,0
TRAIN0005.png,monk_2,male,0_17,0
TRAIN0006.png,monk_2,female,18_30,1
TRAIN0007.png,monk_2,female,18_30,1
TRAIN0008.png,,,,1
TRAIN0009.png,monk_8,female,18_30,0
TRAIN0010.png,,,,1
TRAIN0011.png,monk_4,female,18_30,0
TRAIN0012.png,monk_4,male,31_60,1
TRAIN0013.png,monk_6,male,18_30,0
TRAIN0014.png,,,,1
TRAIN0015.png,monk_3,female,18_30,1
TRAIN0016.png,monk_8,female,0_17,0
TRAIN0017.png,,,,1
TRAIN0018.png,monk_5,female,18_30,1
TRAIN0019.png,,,,0
TRAIN0020.png,monk_9,male,31_60,1
TRAIN0021.png,monk_7,male,18_30,0
TRAIN0022.png,monk_8,female,0_17,0
TRAIN0023.png,,,,1
TRAIN0024.png,monk_2,female,18_30,1
TRAIN0025.png,monk_5,male,0_17,1
TRAIN0026.png,monk_2,male,61_100,1
TRAIN0027.png,monk_5,male,31_60,1
TRAIN0028.png,monk_4,female,18_30,1
TRAIN0029.png,,,,0
TRAIN0030.png,monk_3,male,31_60,1
TRAIN0031.png,,,,1
TRAIN0032.png,,,,1
TRAIN0033.png,,,,1
TRAIN0034.png,monk_8,female,0_17,1
TRAIN0035.png,,,,1
TRAIN0036.png,,,,1
TRAIN0037.png,monk_4,female,18_30,1
TRAIN0038.png,monk_3,female,18_30,1
TRAIN0039.png,,,,1
TRAIN0040.png,monk_9,male,18_30,1
TRAIN0041.png,,,,1
TRAIN0042.png,,,,0
TRAIN0043.png,monk_5,female,18_30,1
TRAIN0044.png,monk_3,female,0_17,1
TRAIN0045.png,,,,0
TRAIN0046.png,,,,1
TRAIN0047.png,,,,1
TRAIN0048.png,monk_9,male,31_60,1
TRAIN0049.png,monk_3,male,18_30,1
TRAIN0050.png,,,,1
TRAIN0051.png,monk_3,female,31_60,1
TRAIN0052.png,monk_2,male,0_17,1
TRAIN0053.png,monk_4,male,0_17,1
TRAIN0054.png,monk_8,male,18_30,0
TRAIN0055.png,monk_3,female,0_17,0
TRAIN0056.png,,,,1
TRAIN0057.png,monk_2,female,31_60,1
TRAIN0058.png,monk_4,female,18_30,1
TRAIN0059.png,,,,1
TRAIN0060.png,monk_4,female,0_17,0
TRAIN0061.png,,,,1
TRAIN0062.png,monk_4,female,18_30,1
TRAIN0063.png,,,,1
TRAIN0064.png,monk_1,male,18_30,0
TRAIN0065.png,monk_5,female,18_30,1
TRAIN0066.png,monk_10,male,31_60,1
TRAIN0067.png,monk_4,female,18_30,1
TRAIN0068.png,,,,1
TRAIN0069.png,monk_8,female,31_60,1
